,x,y,Prediction
0,-0.4910022153062014,0.4154246745987483,1
1,-0.6732278015516995,0.4784341356298237,0
2,0.24656428305210254,0.23328606688498227,1
3,0.2661841426560205,-0.8828839154791159,0
4,-0.4418222307298057,0.5343164369039357,1
5,-0.19688497572157623,-0.5639210322914057,0
6,0.5798521416532352,0.788140641462939,1
7,0.03740567351619572,0.36658960341861624,1
8,-0.44386930641287603,-0.8284467717059386,0
9,0.14574366968551383,-0.11029233268273321,1
10,0.15805875977711234,-0.026973991558678977,1
11,-0.08052444584169828,-0.806716845006095,0
12,0.34913164818281095,-0.5948994579997857,1
13,0.5028830586807691,0.2994153130200058,0
14,0.6037371335249191,0.5995817894246059,0
15,-0.15888416875932296,-0.921012825104552,0
16,0.41881715021479793,0.13302784694341205,1
17,0.3873626148772019,0.7873492737518576,0
18,-0.7154364148830246,0.1554841081672184,0
19,-0.7090705570984122,0.0052202337410332,1
20,0.45463066774801447,0.6312826581762315,0
21,0.9116292943570038,-0.0811345092651502,1
22,-0.44846285699223887,0.4024391754235648,1
23,-0.9596265623066704,0.17053026936208826,0
24,-0.29506067621007004,-0.6434513772057526,1
25,-0.8448750303491088,-0.5298082748827835,0
26,-0.09298270876526084,-0.06741513556052774,0
27,-0.21846583705111733,0.3177227345499397,1
28,0.15846866157249676,0.07367394747953238,1
29,0.2486083145823096,-0.6014820511234727,0
30,-0.45614521279299597,-0.7918468446377753,0
31,0.7004253570627658,0.5046076721620635,1
32,0.7676920973891124,0.03585554945900757,0
33,0.40233193350615176,0.4013164775562562,0
34,-0.8274224359381972,-0.23771224311372474,0
35,0.57061419994905,0.02969874222555125,0
36,-0.3450467836493611,0.12802071316924546,0
37,0.3939445730836767,-0.8651947141490499,1
38,0.18223995533912418,0.6859865603442977,0
39,0.283344061448128,0.5941943885264697,0
40,0.2923663556645196,0.12148712971574743,1
41,0.1076305988322065,0.20687797275481237,1
42,-0.4608889307316613,-0.48933092627466457,1
43,0.09826693486371486,-0.9171480035970566,0
44,0.4655574564105761,0.1886486362169191,1
45,0.7336324456404906,0.3908813303415905,1
46,-0.5589097432386378,-0.6488792066662225,0
47,0.3961975005689889,0.4735162330281461,0
48,-0.5440082351115952,0.11731092444442946,1
49,0.5021155886159606,-0.6782628405860397,1
50,0.7421492296419748,-0.035299190322523016,0
51,-0.337853970334187,0.568201385800652,1
52,0.008913624590394147,-0.2323409495668586,0
53,-0.11195190256257999,-0.833047832317192,0
54,-0.45391451117259884,-0.2703643955752463,1
